title,authors,year,page_count,book_type,rating,rating_count,review_count
This is How You Lose the Time War,"['Amal El-Mohtar', 'Max Gladstone']",2019.0,209,Kindle Edition,3.91,210802.0,41909.0
"The War of Two Queens (Blood and Ash, #4)",['Jennifer L. Armentrout'],2022.0,628,ebook,4.08,193901.0,17097.0
"Daughter of No Worlds (The War of Lost Hearts, #1)",['Carissa Broadbent'],2020.0,520,Kindle Edition,4.05,83954.0,9588.0
"The Dragon Republic (The Poppy War, #2)",['R.F. Kuang'],2019.0,658,Hardcover,4.38,119060.0,19274.0
"Rhythm of War (The Stormlight Archive, #4)",['Brandon Sanderson'],2020.0,1219,Hardcover,4.62,147569.0,11115.0
"The Burning God (The Poppy War, #3)",['R.F. Kuang'],2020.0,622,Hardcover,4.31,89129.0,17452.0
"Crier's War (Crier's War, #1)",['Nina Varela'],2019.0,464,ebook,4.13,41997.0,6173.0
The Turn of the Key,['Ruth Ware'],2019.0,337,Hardcover,3.92,281745.0,31103.0
"The Hurricane Wars (The Hurricane Wars, #1)",['Thea Guanzon'],2023.0,472,Hardcover,3.66,17521.0,4386.0
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,['Sonia Purnell'],2019.0,352,Hardcover,4.15,48826.0,6357.0
The It Girl,['Ruth Ware'],2022.0,423,Hardcover,3.86,238927.0,20917.0
"Children of Fallen Gods (The War of Lost Hearts, #2)",['Carissa Broadbent'],2021.0,636,Kindle Edition,4.19,36938.0,4179.0
The Henna Wars,['Adiba Jaigirdar'],2020.0,400,Hardcover,3.95,27760.0,5128.0
One by One,['Ruth Ware'],2020.0,372,Hardcover,3.73,188178.0,19493.0
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",['Malcolm Gladwell'],2021.0,320,Hardcover,4.03,52270.0,5228.0
The Midwife of Auschwitz (Women of War #1),['Anna Stuart'],2022.0,348,Kindle Edition,4.54,22926.0,1615.0
"Mother of Death & Dawn (The War of Lost Hearts, #3)",['Carissa Broadbent'],2022.0,722,Kindle Edition,4.4,29422.0,3291.0
Never Finished: Unshackle Your Mind and Win the War Within,['David Goggins'],2022.0,312,Kindle Edition,4.45,28692.0,1905.0
"The Hundred Years' War on Palestine: A History of Settler-Colonial Conquest and Resistance, 1917-2017",['Rashid Khalidi'],2020.0,336,Hardcover,4.51,13121.0,2015.0
"Jade War (The Green Bone Saga, #2)",['Fonda Lee'],2019.0,587,Hardcover,4.42,33107.0,5055.0
Chip War: The Fight for the World's Most Critical Technology,['Chris   Miller'],2022.0,464,Hardcover,4.45,21646.0,2037.0
"Start a War (Saint View Psychos, #1)",['Elle Thorpe'],2022.0,362,Kindle Edition,4.3,20608.0,1207.0
Ward D,['Freida McFadden'],2023.0,333,Kindle Edition,4.03,171191.0,12447.0
The Last House on Needless Street,['Catriona Ward'],2021.0,335,Hardcover,3.86,98031.0,16940.0
Vacation Wars,['Meghan Quinn'],2023.0,427,Kindle Edition,3.8,23167.0,1966.0
"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War",['Erik Larson'],2024.0,592,Hardcover,4.26,309.0,98.0
"The Drowning Faith (The Poppy War, #2.5)",['R.F. Kuang'],2020.0,15,ebook,4.53,15988.0,3914.0
"Iron Heart (Crier's War, #2)",['Nina Varela'],2020.0,400,Hardcover,4.26,21813.0,2862.0
"The Sanatorium (Detective Elin Warner, #1)",['Sarah  Pearse'],2020.0,400,Hardcover,3.37,172586.0,16405.0
Light of the Jedi,['Charles Soule'],2021.0,380,Hardcover,3.93,27418.0,3399.0
Zero Days,['Ruth Ware'],2023.0,356,Hardcover,3.65,78801.0,8280.0
The Last Year of the War,['Susan Meissner'],2019.0,389,Hardcover,4.2,18207.0,2448.0
"God of War (Legacy of Gods, #6)",['Rina Kent'],2024.0,533,Kindle Edition,4.63,735.0,195.0
"Thrawn: Treason (Star Wars: Thrawn, #3)",['Timothy Zahn'],2019.0,333,Hardcover,4.29,21940.0,1526.0
"The Sun and the Void (The Warring Gods, #1)",['Gabriela Romero Lacruz'],2023.0,511,Paperback,3.34,2684.0,920.0
"The Art of Prophecy (War Arts, #1)",['Wesley Chu'],2022.0,533,Hardcover,4.1,3903.0,964.0
Let Us Descend,['Jesmyn Ward'],2023.0,320,Hardcover,3.72,22237.0,3304.0
Master and Apprentice,['Claudia Gray'],2019.0,330,Hardcover,4.18,19228.0,2180.0
"Ruining Dahlia (Mafia Wars, #3)",['C.R. Jane'],2022.0,534,Kindle Edition,4.07,9163.0,760.0
War Doctor: Surgery on the Front Line,['David Nott'],2019.0,355,Hardcover,4.54,12628.0,1107.0
"Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",['Safi Bahcall'],2019.0,368,Hardcover,4.01,8383.0,717.0
Nectar of War: The Song of Verity and Serenity,['Leilani Helen Aki'],2023.0,696,Paperback,3.45,664.0,186.0
The Taste of Revenge (War of Sins #1),['Veronica Lancet'],2023.0,322,Kindle Edition,3.5,7848.0,719.0
"Binding Rose (Mafia Wars, #1)",['Ivy Fox'],2022.0,462,Kindle Edition,3.85,8029.0,872.0
The War Girls,['V.S. Alexander'],2022.0,448,Paperback,4.1,3613.0,430.0
"Shifter Wars (Supernatural Battle: Werewolf Dens, #1)",['Kelly St. Clare'],2020.0,420,Kindle Edition,4.1,11259.0,1203.0
Tastes Like War,['Grace M. Cho'],2021.0,289,Paperback,3.92,12463.0,1492.0
When Time Stopped: A Memoir of My Father's War and What Remains,['Ariana Neumann'],2020.0,336,Hardcover,4.33,6862.0,973.0
"Chaos Rising (Star Wars: Thrawn Ascendancy, #1)",['Timothy Zahn'],2020.0,400,Hardcover,4.25,15480.0,1261.0
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health",['Robert F. Kennedy Jr.'],2021.0,934,Kindle Edition,4.53,6520.0,1072.0
The Jetsetters,['Amanda Eyre Ward'],2020.0,352,Hardcover,3.08,53703.0,4126.0
Dutch Girl: Audrey Hepburn and World War II,"['Robert Matzen', 'Luca Dotti']",2019.0,373,Hardcover,3.85,7588.0,1217.0
Aftershocks (The Palladium Wars #1),['Marko Kloos'],2019.0,286,Kindle Edition,4.11,9187.0,695.0
"War Girls (War Girls, #1)",['Tochi Onyebuchi'],2019.0,451,Hardcover,3.75,2943.0,759.0
A Gracious Enemy & After the War Volume One,['Michael G. Kramer'],2022.0,470,ebook,4.29,11033.0,30.0
"Ruthless Stranger (Mafia Wars, #1)",['Maggie Cole'],2021.0,436,Kindle Edition,4.16,8621.0,771.0
"The Endless War (The Bridge Kingdom, #4)",['Danielle L. Jensen'],2023.0,496,Paperback,4.21,11112.0,1319.0
One Perfect Couple,['Ruth Ware'],2024.0,400,Hardcover,3.91,846.0,463.0
"D-Day Girls: The Spies Who Armed the Resistance, Sabotaged the Nazis, and Helped Win World War II",['Sarah Rose'],2019.0,320,Hardcover,3.78,5614.0,874.0
"Queen's Shadow (Star Wars: The Padmé Trilogy, #1)",['E.K. Johnston'],2019.0,400,Paperback,3.85,12204.0,1815.0
I Did Something Bad,['Pyae Moe Thet War'],2024.0,336,Paperback,4.16,25.0,18.0
"American Midnight: The Great War, a Violent Peace, and Democracy's Forgotten Crisis",['Adam Hochschild'],2022.0,422,Hardcover,4.21,3802.0,567.0
"War of Hearts (True Immortality, #1)","['S. Young', 'Samantha Young']",2019.0,447,Kindle Edition,4.03,7368.0,901.0
Valiant Women: The Extraordinary American Servicewomen Who Helped Win World War II,['Lena Andrews'],2023.0,351,Hardcover,4.01,1170.0,197.0
2034: A Novel of the Next World War,"['Elliot Ackerman', 'James Stavridis']",2021.0,320,Hardcover,3.8,13480.0,1452.0
Into the Dark,['Claudia Gray'],2021.0,425,Hardcover,4.02,10620.0,1246.0
"War Hour (The Broken Trials, #1)",['Lauren Loscig'],2023.0,396,Kindle Edition,4.12,1955.0,881.0
Other Words for Home,['Jasmine Warga'],2019.0,352,Kindle Edition,4.43,30844.0,4855.0
"The Bone Shard War (The Drowning Empire, #3)",['Andrea Stewart'],2023.0,611,Hardcover,3.94,5187.0,1065.0
"Queen's Peril (Star Wars: The Padmé Trilogy, #2)",['E.K. Johnston'],2020.0,276,Hardcover,3.94,8250.0,1232.0
One Woman's War,['Christine   Wells'],2022.0,354,Paperback,3.79,2192.0,355.0
Who Has Buried the Dead?: From Stalin to Putin … The last great secret of World War Two,['K.G.E. Konkel'],2022.0,440,Kindle Edition,4.32,1674.0,17.0
"Greater Good (Star Wars: Thrawn Ascendancy, #2)",['Timothy Zahn'],2021.0,432,Hardcover,4.14,10199.0,736.0
The Deviant's War: The Homosexual vs. the United States of America,['Eric Cervini'],2020.0,494,Hardcover,4.31,2894.0,442.0
The Neighbor War (Only in Atlanta #2),['Katie Bailey'],2021.0,310,Kindle Edition,3.83,7146.0,534.0
"How the South Won the Civil War: Oligarchy, Democracy, and the Continuing Fight for the Soul of America",['Heather Cox Richardson'],2020.0,272,Hardcover,4.31,3918.0,647.0
"Revenge: Meghan, Harry and the War between the Windsors",['Tom Bower'],2022.0,541,Kindle Edition,3.87,8624.0,808.0
"Heart of the Sun Warrior (The Celestial Kingdom Duology, #2)",['Sue Lynn Tan'],2022.0,466,Hardcover,4.03,30460.0,5470.0
The Cul-de-Sac War,['Melissa    Ferguson'],2020.0,336,Paperback,3.39,6218.0,1058.0
"House of War and Bone (Gilded City, #2)",['Leia Stone'],2023.0,272,Paperback,4.29,3308.0,190.0
The Warm Hands of Ghosts,['Katherine Arden'],2024.0,325,Hardcover,4.07,8497.0,2258.0
"Archangel's War (Guild Hunter, #12)",['Nalini Singh'],2019.0,471,Mass Market Paperback,4.49,12582.0,1362.0
Two Wars and a Wedding,['Lauren Willig'],2023.0,435,Hardcover,3.9,2715.0,405.0
Brotherhood,['Mike Chen'],2022.0,332,Hardcover,4.17,8359.0,1153.0
The Warsaw Orphan,['Kelly Rimmer'],2021.0,416,Paperback,4.37,35058.0,2809.0
Killing Crazy Horse: The Merciless Indian Wars in America,"[""Bill O'Reilly"", 'Martin Dugard']",2020.0,303,Hardcover,4.19,9588.0,903.0
"Oscar Wars: A History of Hollywood in Gold, Sweat, and Tears",['Michael        Schulman'],2023.0,589,Hardcover,4.09,3620.0,606.0
"Lesser Evil (Star Wars: Thrawn Ascendancy, #3)",['Timothy Zahn'],2021.0,416,Audible Audio,4.38,9985.0,649.0
"War Lord (The Saxon Stories, #13)",['Bernard Cornwell'],2020.0,333,Hardcover,4.6,13303.0,1157.0
Sundial,['Catriona Ward'],2022.0,292,Hardcover,3.8,18757.0,3991.0
"The Mercy of Gods (The Captive's War, #1)",['James S.A. Corey'],2024.0,432,Hardcover,4.25,28.0,14.0
